Number,volume,mass,Firmness,TST,TA,Zs,θ,L1,A1,B1,L2,A2,B2
25,110.140244820122,152.3,0.5525,9.4,0.71824,1.1163,-39.016,2717,816,142,4929,1485,2992
26,112.447577949176,148.72,1.9275,10.8,1.1055,1.0832,-41.15,2985,1223,936,5934,1227,3343
27,117.520619993262,155.35,0.7225,9.1,0.82544,0.9215,-36.352,2475,1121,653,4360,1665,2611
28,112.306830830237,149.91,0.7375,11.3,0.91254,0.9483,-37.433,2633,1043,653,5179,1674,3617
29,100.414789288804,156.63,0.825,10.9,0.86296,1.0455,-37.752,2860,1322,1139,6185,1061,4326
30,119.76794271476,150.67,0.625,10.6,0.76514,1.0908,-37.135,2503,1126,815,5282,1024,4426
31,123.506870169404,157.97,1.2275,9,0.9045,1.1799,-39.373,3665,1816,1675,5123,1339,3610
32,128.581248663994,156.5,3.4675,9.8,0.84822,1.3164,-42.86,2697,937,618,6321,1131,4171
33,123.34206118527,150.27,3.4125,10,0.77854,1.3581,-42.97,3072,1296,805,5148,1565,2975
34,108.908891852773,149.32,3.5025,11.1,0.81472,1.3777,-45.43,2594,394,-252,3345,1673,1690
35,109.696448355871,151.57,0.525,8.1,0.6365,0.9623,-35.699,3135,1051,1567,5572,1377,3374
36,120.164881973338,148.03,3.2425,10,0.7973,1.3133,-42.09,5034,1378,3340,6395,887,4403
37,122.579862315557,150.54,1.3925,9.2,0.82678,1.0612,-38.052,2555,1184,309,3069,1268,975
38,112.57435085489,148.29,3.065,9.7,0.70886,1.4981,-45.63,2795,322,575,4535,1804,3148
39,126.772933919733,158.56,3.2075,8.9,0.63784,1.3954,-42.82,2561,444,287,3721,2057,2184
40,133.966737246476,158.07,3.4525,9,0.7102,1.5651,-42.57,2827,1152,807,5502,1331,3281
41,126.864470392213,155.53,2.9625,10.7,0.83214,1.3687,-44.27,2594,547,439,4372,2065,2645
42,128.581248663994,153.13,2.8325,10,0.804,1.3908,-45.32,2570,509,-217,5032,1687,2890
43,118.801328856904,147.58,1.3675,10.9,0.84018,1.0675,-38.118,2890,653,740,5891,1171,3905
44,123.626823416017,152.48,2.685,11.8,0.82812,1.3364,-44.25,2776,224,393,5002,1777,3522
45,127.920308732135,155.13,2.7325,10.3,0.80936,1.3466,-44.53,3100,523,674,6252,1181,4304
46,125.79928311171,153.69,3.26,11.9,0.79998,1.3337,-46.37,2359,695,150,5197,1564,3333
47,120.88749152438,153.22,3.565,9.9,0.91924,1.3493,-43.51,2878,1043,712,4997,1284,3491
48,114.844022698549,144.68,3.3925,10.3,0.82008,1.3613,-43.55,3253,1201,907,5652,1333,3552
49,105.647712808913,141.07,2.7675,8.8,0.7772,1.4183,-44.7,2980,1012,796,6079,1215,3907
50,129.476349973597,155.14,3.25,9.7,0.86832,1.3888,-44.22,2659,595,236,4630,1817,2734
51,135.603237227118,156.57,3.3275,10.4,0.76782,1.4339,-43.22,2724,827,817,5938,1288,4196
52,119.591806220358,146.61,2.91,8.2,0.64588,1.3447,-43.4,2732,953,1064,5316,1504,3633
53,118.480283798668,150.48,2.9425,9.5,0.63516,1.3762,-43.3,3036,992,824,5204,1610,3641
54,114.08884730855,147.6,3.7375,11.1,0.9246,1.3649,-43.14,3096,695,689,5092,1554,3525
55,123.13251642913,158.24,3.64,10.5,0.75844,1.4998,-41.63,2707,227,348,6705,708,4242
56,122.923209136667,153.77,3.755,9.9,0.80668,1.4231,-43.44,2967,596,624,5749,1304,3828
57,114.91543718703,154.12,1.005,11,0.62176,1.2562,-40.77,2928,1431,1277,4237,1764,3042
58,109.488829796612,150.51,0.5375,11.8,0.73164,1.3648,-40.74,2398,975,627,3347,1780,2030
59,121.86537311818,156.58,3.0575,10,0.80266,1.3138,-45.58,2633,708,1218,5021,1719,3813
60,105.999285608544,152.18,0.78,10.7,0.92594,0.9691,-36.906,2198,517,502,5552,1302,4098
61,122.99793448972,158.87,0.6725,9.4,0.81204,1.081,-39.857,2298,586,455,4113,1820,2642
62,122.833578670925,150.17,1.235,9.6,0.73298,1.1251,-38.115,2278,835,562,6006,1102,3974
63,116.335547082676,157.64,0.4475,10.4,0.93934,0.8929,-35.966,2153,843,461,3839,1824,2460
64,116.623851145021,158.15,0.43,9.9,0.56548,0.8993,-35.088,2112,259,349,4360,1834,3079
65,119.269337986756,151.56,0.495,10.6,0.98222,0.9129,-35.47,2339,310,413,4355,1888,2501
66,121.90994713863,149.31,0.595,10.5,0.72226,1.2096,-39.413,2389,285,349,3802,1451,1721
67,126.559520071244,153.62,2.5775,11.2,0.87368,1.0951,-45.47,2564,418,251,3197,1487,1276
68,132.123834598825,161.75,2.4775,10.5,0.86966,1.2465,-46.04,2605,1227,580,4129,1888,2242
69,134.346874368611,157.87,2.31,11,0.6432,1.2868,-46.055,2305,787,435,5309,1870,3382
70,116.667137793388,153.94,0.385,10.7,0.66732,1.0434,-38.251,2268,289,-35,4921,1321,3288
71,121.360960008952,155.83,1.2275,11,0.83214,1.0132,-40.33,3246,1593,1528,5435,1194,4412
72,128.781514949837,150.58,1.935,10.8,0.9782,1.0848,-40.26,2707,854,526,4324,1853,2637
73,118.305412349036,149.38,1.0725,10.8,0.98356,1.177,-39.805,2736,997,481,6511,682,4279
74,102.082208209768,154.72,0.485,11.8,0.77184,1.0864,-39.334,2168,764,479,4224,1640,3034
75,115.444824757969,153.52,1.0425,11.1,0.938,1.1235,-40.59,2086,537,871,4637,1798,3830
76,112.588442612053,152.47,0.3275,10.3,0.5896,0.9318,-33.338,2614,941,426,3862,1726,2268
77,123.431938807084,157.64,0.835,10.9,0.77988,0.9099,-34.908,2431,620,410,5261,1230,3182
78,119.533132454094,147.61,1.5425,10.5,0.77318,1.1887,-37.093,2447,674,368,5022,1670,3614
79,118.363683699965,152.99,1.18,10.8,1.08808,0.9485,-35.9,2820,1325,601,3798,1847,2110
80,125.87516943021,149.54,1.555,10.7,0.91924,1.0749,-37.398,3053,1018,791,6065,760,4450
81,121.895087924352,158.12,3.135,10.6,0.8375,1.2941,-45.02,1620,638,283,3695,1912,2952
82,132.75197269439,159.17,1.4825,10.8,0.9246,1.1832,-41.52,3086,1519,1427,5988,722,4800
83,125.541497775763,153.26,1.06,10.9,0.88574,1.0986,-41.54,2138,755,1512,5390,1530,3448
84,123.282167016107,159.37,0.87,10.4,0.86028,1.1587,-38.138,2857,554,483,5676,1251,3992
85,117.187413305885,155.8,0.7825,11.6,0.94604,0.8202,-34.937,2769,544,336,6238,874,4049
86,116.753743220417,158.22,0.8425,11.6,0.92058,0.9413,-37.083,3949,1459,3102,5326,1557,4252
87,122.08835191104,155.05,3.055,10.4,0.73566,1.3578,-46.01,1921,530,1127,4038,1763,2451
88,125.14791941217,151.74,1.095,9.3,0.67,1.0646,-37.64,3060,1546,1483,4738,1804,3833
89,118.888987140701,150.01,1.1625,10.6,0.91388,1.0079,-37.478,3246,1497,1598,5460,1305,4292
90,126.772933919733,150.28,0.8675,8.7,0.7772,1.1001,-35.903,2172,960,527,5685,1333,3749
91,114.958300087441,150.61,0.4175,10.4,0.92326,0.8303,-32.524,2588,1209,763,4061,1697,2877
92,120.474218133717,150.43,0.555,8.3,0.74102,1.1301,-35.579,2561,1289,907,5584,1354,3976
93,120.710258822223,148.54,3.255,10.5,0.82008,1.2962,-43.9,2349,281,1245,6027,702,4782
94,130.251315103131,151.6,3.2925,10.2,0.8107,1.2739,-46.9,2112,679,383,3761,1884,2299
95,120.297389693216,155.05,2.7875,11.7,0.74772,1.1958,-47.26,2908,773,582,5456,1715,3412
96,119.181492821345,152.45,0.885,9.9,0.90718,0.8863,-35.381,2768,556,284,6345,332,4584
97,110.947673789375,149.36,0.715,7.9,0.7772,1.044,-37.412,2970,1207,879,5240,1646,3539
98,121.984261323893,148.48,3.5925,9.2,0.80534,1.3102,-41.92,2923,899,618,4777,1372,1843
99,110.822125302032,146.51,1,11,0.85626,0.9921,-37.64,2895,1103,764,3770,1767,2588
100,127.935653644998,157.1,3.4075,10.9,0.80802,1.3394,-41.93,2614,855,900,4882,1885,3238
